name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014-08-23-529,0.75,-1,0.250,1.50,0.050,0.0000,7.099,0.100,0.250,1.50,3.00,0.50
2014-08-23-530,0.75,1,0.500,6.50,0.000,-0.0300,56.588,0.500,0.500,6.50,6.50,1.25
2014-08-23-531,0.75,1,0.450,5.50,0.150,-0.0150,26.323,0.400,0.450,5.00,7.00,0.75
2014-08-23-532,0.75,1,0.300,3.00,-0.050,-0.0300,23.102,0.300,0.350,3.00,3.00,0.00
2014-08-23-533,0.75,-1,0.350,2.50,-0.050,-0.0150,45.423,0.350,0.350,2.50,2.50,0.75
2014-08-23-534,0.75,1,0.200,9.00,0.000,-0.0300,8.980,0.200,0.200,9.00,9.00,0.00
2014-08-23-535,0.75,-1,0.700,2.00,-0.150,-0.0150,28.886,0.700,0.700,2.00,2.00,1.75
2014-08-23-536,0.75,1,0.150,2.50,0.250,-0.0300,0.989,0.000,0.500,0.00,10.00,0.50
2014-08-23-537,0.75,-1,0.400,4.50,0.000,0.0000,31.674,0.400,0.400,4.50,4.50,0.75
2014-08-23-538,0.75,1,0.400,5.00,0.050,0.0150,42.033,0.400,0.550,4.50,5.50,0.00
2014-08-23-539,0.75,1,0.500,5.00,-0.150,-0.0300,51.978,0.500,0.500,5.00,5.00,0.50
2014-08-23-540,0.75,-1,0.350,6.00,0.000,0.0000,40.803,0.350,0.350,6.00,6.50,1.00
2014-08-23-541,0.75,1,0.300,4.50,0.000,-0.0150,22.609,0.300,0.300,4.50,4.50,0.75
2014-08-23-542,0.75,1,0.450,6.00,0.000,0.0000,70.238,0.450,0.450,6.00,6.00,0.75
2014-08-23-543,0.75,1,0.250,5.50,0.150,-0.0300,16.645,0.250,0.250,5.50,5.50,0.50
2014-08-23-544,0.75,-1,0.150,4.00,0.350,-0.0300,5.124,0.050,0.400,2.00,10.00,0.00
2014-08-23-545,0.75,1,1.000,1.50,0.200,-0.0300,5.284,0.450,1.000,0.00,2.00,0.25
2014-08-23-546,0.75,-1,0.400,2.00,-0.100,-0.0300,45.542,0.400,0.400,2.00,2.00,1.50
2014-08-23-547,0.75,-1,0.400,7.00,-0.150,0.0000,40.614,0.400,0.450,6.50,7.00,1.00
2014-08-23-548,0.75,1,0.400,6.50,0.000,0.0000,58.164,0.400,0.400,6.50,6.50,0.50
2014-08-23-549,0.75,-1,0.350,1.50,-0.050,-0.0150,74.054,0.350,0.350,1.50,1.50,0.00
2014-08-23-550,0.75,-1,0.550,8.50,-0.150,-0.0300,22.877,0.500,0.550,8.00,10.00,0.00
2014-08-23-551,0.75,-1,0.350,2.50,-0.100,0.0000,10.030,0.300,0.450,1.50,2.50,0.00
2014-08-23-552,0.75,1,0.350,4.00,0.000,0.0000,9.278,0.350,0.350,4.00,4.00,0.25
2014-08-23-553,0.75,-1,0.400,5.00,-0.050,0.0300,3.642,0.000,0.450,0.00,10.00,0.50
